pid,date,archive_number,title,description,extent,condition,date_unvalidated,creator,collector,materials,collection,key,order,layout,notes,thumbnail,full
113,2023-10-25,23-01/1-2-14,Manual metal shop scale ,Manual metal shop scale with four weights of increasing size and a bowl.  ,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,112,tinui_item,"","",""
114,2023-10-25,23-01/1-2-15,Cyclindrical metal object with handle,"Cyclindrical metal object with handle, tapers as it goes up. Note attached, unintelligible due to fading.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,113,tinui_item,"","",""
115,2023-10-25,23-01/1-2-16,Brasso Metal Polish,"Brasso Metal Polish, missing lid, liquid still inside",1,Good,Unknown,Unknown,Unknown,"Metal, Paint, Liquid",tinui,object,114,tinui_item,"","",""
116,2023-10-25,23-01/1-2-17,Rawleigh's Medicated Ointment tin,"Rawleigh's Medicated Ointment tin, empty.",1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,115,tinui_item,"","",""
117,2023-10-25,23-01/1-2-18,Chemico Household cleaner,"Chemico Household cleaner, pink metal tin with red writing. Product still enclosed in cake.",1,Good,Unknown,Unknown,Unknown,"Metal, Paint, Product",tinui,object,116,tinui_item,"","",""
118,2023-10-25,23-01/1-2-19,Combination Coat hanger and clothes brush,"Combination Coat hanger and clothes brush, green, with two brushes and collapsible design.",1,Good,Unknown,Unknown,Unknown,"Metal, Paint, Wood, Plastic ",tinui,object,117,tinui_item,"","",""
119,2023-10-25,23-01/1-2-20,Bifurcated Rivets tin,"Bifurcated Rivets tin, metal tin with yellow paint and black text.",1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,118,tinui_item,"","",""
120,2023-10-25,23-01/1-2-21,Wooden stopper with yarn,"Wooden stopper with yarn wound around it, spare part for spinning wheel",1,Good,Unknown,Unknown,Unknown,"Wood, yarn",tinui,object,119,tinui_item,"","",""
121,2023-10-25,23-01/1-2-22,Ovoline Egg Preservative ,Ovoline Egg Preservative tin inside corrosponding box. Yellow and blue design on box. ,1,Good,Unknown,Ovoline,Unknown,"Metal, Paint, Cardboard",tinui,object,120,tinui_item,"","",""
122,2023-10-25,23-01/1-2-23,Harpic Perfumed Toilet Cleaner,Harpic Perfumed Toilet Cleaner in plastic bottle. ,1,Good,Unknown,Harpic,Unknown,Plastic,tinui,object,121,tinui_item,"","",""
123,2023-10-25,23-01/1-2-24,Robin Spray Starch,"Robin Spray Starch for spraying on clothes. Sharpie on base reads ""1960""",1,Good,1960,Reckitt & Colman Ltd. Auckland,Unknown,"Metal, Paint, Plastic",tinui,object,122,tinui_item,"","",""
124,2023-10-25,23-01/1-2-25,Box of Titan Billiard Balls,"Box of Titan Billiard Balls, red box with three balls inside, one red and two orange.",1,Good,Unknown,Titan,Unknown,"Metal, Paint, Cardboard, fabric",tinui,object,123,tinui_item,"","",""
125,2023-10-25,23-01/1-2-26,Metal candle holder with vine design,Metal candle holder with vine design,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,124,tinui_item,"","",""
126,2023-10-25,23-01/1-2-27,Small wooden handle with metal center,"Small wooden handle with metal center and screw at end, likely a part of something else. ",1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,125,tinui_item,"","",""
127,2023-10-25,23-01/1-2-28,Wooden stand with nine long metal drill bits,Wooden stand with nine long metal drill bits,1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,126,tinui_item,"","",""
128,2023-10-25,23-01/1-2-29,Cast Iron Pot,"Cast Iron Pot, attached note read ""As used by your great grandmother"" No clear author. ""Your"" is assumed to be general.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,127,tinui_item,"","",""
129,2023-10-25,23-01/1-2-30,Electric Iron with cord,"Electric Iron with cord, very early and badly rusted",1,Fair,Unknown,Unknown,Unknown,"Metal, Fabric, Plastic",tinui,object,128,tinui_item,"","",""
130,2023-10-25,23-01/1-2-31,Cairns Can Crusher,"Cairns Can Crusher, metal device with a crushed can inside. Note reads ""the outcome of an anti-litter campaign in the 1970s (Red Cairns, ex Willowbank the designer - it has a patina)",1,Fair,1970s,Mr. Cairns,Unknown,Metal,tinui,object,129,tinui_item,"","",""
131,2023-10-25,23-01/1-2-32,Manual Iron,"Manual Iron, would have been heated up on the fire or stove.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,130,tinui_item,"","",""
132,2023-10-25,23-01/1-2-33,Pair of weights for lifting,Pair of weights for lifting,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,131,tinui_item,"","",""
133,2023-10-25,23-01/1-2-34,Tractor Maintenance Handbook,Tractor Maintenance Handbook for Commer tractors,1,Fair,Unknown,Unknown,Unknown,Paper,tinui,object,132,tinui_item,"","",""
134,2023-10-25,23-01/1-2-35,Mannering Brick,"Mannering Brick, note attached reads ""M for Mannering., he had a brick kiln up the Black Hill (1900) the brick came from Rangitomaiti where Tim Foreman lived (over the river from Colliers)",1,Good,1900s,Mr. Mannering,Unknown,Brick,tinui,object,133,tinui_item,"","",""
135,2023-10-25,23-01/1-2-36,Medium Ceramic two-tone vase,"Medium Ceramic two-tone vase, Tan and oatmeal coloured.",1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,134,tinui_item,"","",""
136,2023-10-25,23-01/1-2-37,Blowtorch,"Blowtorch with green metal fuel tank, handle and ignition chamber.",1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,135,tinui_item,"","",""
137,2023-10-25,23-01/1-2-38,Stirrup,Metal stirrup ,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,136,tinui_item,"","",""
138,2023-10-25,23-01/1-2-39,Cast Iron Cobbler's Foot,Cast Iron Cobbler's Foot,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,137,tinui_item,"","",""
139,2023-10-25,23-01/1-2-40,Hanging scale,Hanging scale,1,Good,Unknown,Unknown,Unknown,"Metal, Glass, Paint",tinui,object,138,tinui_item,"","",""
140,2023-10-25,23-01/1-2-41,Candlestick with handle,"Candlestick with handle, top is painted white",1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,139,tinui_item,"","",""
141,2023-10-25,23-01/1-2-42,Miller Oil Lamp,"Miller Oil Lamp base, no glass, metal is printed with floral designs and brand name.",1,Good,Unknown,Miller USA,Unknown,Metal,tinui,object,140,tinui_item,"","",""
142,2023-10-25,23-01/1-2-43,Large enclosed oil lamp,"Large enclosed oil lamp with four sides, one opens and a hook at the top for hanging or carrying.",1,Good,Unknown,Unknown,Unknown,"Metal, Glass",tinui,object,141,tinui_item,"","",""
143,2023-10-25,23-01/1-2-44,Fordson Major Tractor Instructions Manual,"Fordson Major Tractor Instructions Manual, orange cover with black text.",1,Good,1951-05-31T12:00:00Z,Ford,Unknown,Paper,tinui,object,142,tinui_item,"","",""
144,2023-10-25,23-01/1-2-45,"Fire Helmet, Dark Yellow with Black Trim","Fire Helmet, Dark Yellow with Black Trim",1,Good,Unknown,Unknown,Unknown,"Plastic, fabric, Metal",tinui,object,143,tinui_item,"","",""
145,2023-10-25,23-01/1-2-46,"Fire Helmet, Dark Yellow with No Trim","Fire Helmet, Dark Yellow with No Trim",1,Good,Unknown,Unknown,Unknown,"Plastic, fabric, Metal",tinui,object,144,tinui_item,"","",""
146,2023-10-25,23-01/1-2-47,"Fire Helmet, Light Yellow with Full Visor","Fire Helmet, Light Yellow with Full Visor",1,Good,Unknown,Unknown,Unknown,"Plastic, fabric, Metal",tinui,object,145,tinui_item,"","",""
147,2023-10-25,23-01/1-2-48,"Fire Helmet, Light Yellow with Small Visor","Fire Helmet, Light Yellow with Small Visor",1,Good,Unknown,Unknown,Unknown,"Plastic, fabric, Metal",tinui,object,146,tinui_item,"","",""
148,2023-10-25,23-01/1-2-49,Castlepoint Fire Station Construction Hat,Castlepoint Fire Station Construction Hat,1,Good,Unknown,Unknown,Unknown,Plastic,tinui,object,147,tinui_item,"","",""
149,2023-10-25,23-01/1-2-50,Pair of stirrups,"Pair of stirrups, on has a missing piece above the foot plat.",1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,148,tinui_item,"","",""
150,2023-10-25,23-01/1-2-51,Set of Horse shoes,"Set of Horse shoes, two are attached, the third is identical",3,Good,Unknown,Unknown,Unknown,Metal,tinui,object,149,tinui_item,"","",""
151,2023-10-25,23-01/1-2-52,Horse mouth piece,"Horse mouth piece, with leather strap, found next to a tag that reads ""A selection of horse mouth pieces""",1,Good,Unknown,Unknown,Unknown,"Metal, Leather",tinui,object,150,tinui_item,"","",""
152,2023-10-25,23-01/1-2-53,Large rusted horse shoe,"Large rusted horse shoe, note attached read ""1900 horse power""",1,Poor,Unknown,Unknown,Unknown,Metal,tinui,object,151,tinui_item,"","",""
153,2023-10-25,23-01/1-2-54,Entendido Cigar Box,"Entendido Cigar Box, wooden with design on top and under lid, one front clasp and hinges",1,Good,Unknown,Entendido,Unknown,"Metal, Wood",tinui,object,152,tinui_item,"","",""
154,2023-10-25,23-01/1-2-55,Plastic bag full of small metal fixtures,"Plastic bag full of small metal fixtures, precise types and usage unknown, to be expanded.",1,Good,Unknown,Unknown,Unknown,"Metal, plastic",tinui,object,153,tinui_item,"precise types and usage unknown, to be expanded.","",""
155,2023-10-25,23-01/1-2-56,"Wax seal stamp with decorative ""M"" design","Wax seal stamp with decorative ""M"" design, metal stamp, no handle.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,154,tinui_item,"","",""
156,2023-10-25,23-01/1-2-57,"Wax seal stamp with decorative ""E"" design","Wax seal stamp with decorative ""E"" design,  metal stamp, no handle.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,155,tinui_item,"","",""
157,2023-10-25,23-01/1-2-58,"Wax seal stamp with decorative ""K"" design","Wax seal stamp with decorative ""K"" design,  metal stamp, no handle.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,156,tinui_item,"","",""
158,2023-10-25,23-01/1-2-59,Butterfly shaped metal piece,"Butterfly shaped metal piece, with two prongs",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,157,tinui_item,"","",""
159,2023-10-25,23-01/1-2-60,Two pronged hoe,Two pronged hoe with wooden handle,1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,158,tinui_item,"","",""
160,2023-10-25,23-01/1-2-61,Hammer ,Hammer with metal head and wooden handle. Head has a grove in the front.,1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,159,tinui_item,"","",""
161,2023-10-25,23-01/1-2-62,Large horse shoe,"Large horse shoe, with four holes on each side and a raised front piece",1,Good,Unknown,Unknown,Pam Maunsell,Metal,tinui,object,160,tinui_item,"","",""
162,2023-10-25,23-01/1-2-63,Medium horse shoe,"Medium horse shoe, with three holes on each side and a raised front piece",1,Good,Unknown,Unknown,Pam Maunsell,Metal,tinui,object,161,tinui_item,"","",""
163,2023-10-25,23-01/1-2-64,Small metal funnel,Small metal funnel with metal rim. Bent out of shape a little,1,Good,Unknown,Unknown,Pam Maunsell,Metal,tinui,object,162,tinui_item,"","",""
164,2023-10-25,23-01/1-2-65,Dehorners,"Dehorners, metal tool with wooden handle grips.",1,Good,Unknown,Unknown,Pam Maunsell,Metal,tinui,object,163,tinui_item,"","",""
165,2023-10-25,23-01/1-2-66,Brown leather first aid kit,"Brown leather first aid kit, full of bandages and safety pins, much of the contents appears to date the the same period as the case.",1,Good,1910s,Unknown,Unknown,"Leather, metal, thread",tinui,object,164,tinui_item,"","",""
166,2023-10-25,23-01/1-2-67,Metal tool with rectangular top and six holes.,Metal tool with rectangular top and six holes.,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,165,tinui_item,"","",""
167,2023-10-25,23-01/1-2-68,"Wood and metal tool, part of","Wood and metal tool, part of something else, bent shaped wood with twist top and metal bottom.",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,166,tinui_item,"","",""
168,2023-10-25,23-01/1-2-69,"Ear marker with a ""C"" shaped end","Ear marker with a ""C"" shaped end",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,167,tinui_item,"","",""
169,2023-10-25,23-01/1-2-70,"Ear marker with a ""X"" shaped end","Ear marker with a ""X"" shaped end",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,168,tinui_item,"","",""
170,2023-10-25,23-01/1-2-71,"Barbed wire cutter, World War One","Barbed wire cutter, World War One, note attached reads ""Ex army 1914-18 barbed wire cutters""",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,169,tinui_item,"","",""
171,2023-10-25,23-01/1-2-72,Measuring tape in leather case,Measuring tape in leather case,1,Good,Unknown,Unknown,Unknown,"Metal, Fabric, Thread, Leather",tinui,object,170,tinui_item,"","",""
172,2023-10-25,23-01/1-2-73,Lister Cream Separator,"Lister Cream Separator, red base with grey bowl and wooden handle",1,Fair,Unknown,Lister,Unknown,"Metal, Wood, Paint",tinui,object,171,tinui_item,"","",""
173,2023-10-25,23-01/1-2-74,Raynox 8mm Film Projector,Raynox 8mm Film Projector with black plastic case and instructions enclosed.,1,Good,Unknown,Raynox Ltd.,Anne Brand,"Metal, Glass, Plastic",tinui,object,172,tinui_item,"","",""
174,2023-10-25,23-01/1-2-75,"Cast Iron Pot, Medium",Cast Iron Pot with handle and lid,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,173,tinui_item,"","",""
175,2023-10-25,23-01/1-2-76,Post Hole Digger Manual,"Post Hole Digger Manual, long wooden handle with metal tool.",1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,174,tinui_item,"","",""
176,2023-10-25,23-01/1-2-77,Valor Junior Kerosene Stove,Valor Junior Kerosene Stove,1,Good,Unknown,Valor,Unknown,"Metal, Paint",tinui,object,175,tinui_item,"","",""
177,2023-10-25,23-01/1-2-78,Fireplace grate,"Fireplace grate, black metal",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,176,tinui_item,"","",""
178,2023-10-25,23-01/1-2-79,White ceramic candlestick,White ceramic candlestick,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,177,tinui_item,"","",""
179,2023-10-25,23-01/1-2-80,Glass oil lamp,"Glass oil lamp, glass in ridged pattern at base. Mechanism and top in order.",1,Good,Unknown,Unknown,Unknown,"Glass, metal",tinui,object,178,tinui_item,"","",""
180,2023-10-25,23-01/1-2-81,Ceramic Telephone insulator ,"Ceramic Telephone insulator, see attached note for more background.",1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,179,tinui_item,"","",""
181,2023-10-25,23-01/1-2-82,Heat Proof feeder bottle,"Heat Proof feeder bottle, glass with name and measurements in the glass. ",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,180,tinui_item,"","",""
182,2023-10-25,23-01/1-2-83,Nutbrown' Cookie & Biscuit Maker,"Nutbrown' Cookie & Biscuit Maker, printed cardboard packaging with metal and plastic tool inside. Tool has a variety of attachments to make different biscuits.",1,Good,Unknown,Unknown,Lorena Crombie,"Metal, Cardboard",tinui,object,181,tinui_item,"","",""
183,2023-10-25,23-01/1-2-84,200th Anniversary of Cook's Landing Mug,"200th Anniversary of Cook's Landing Mug, plastic with scenes of Cook's arrival, his ship and crew, and a map of New Zealand.",1,Good,1969,Unknown,Unknown,Plastic,tinui,object,182,tinui_item,"","",""
184,2023-10-25,23-01/1-2-85,Dominion Wide Mouth Jar,Dominion Wide Mouth Jar,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,183,tinui_item,"","",""
185,2023-10-25,23-01/1-2-86,Creamoata brand glass breakfast bowl,"Creamoata brand glass breakfast bowl, image of a man running with text that reads ""Sergeant Dan the Creamoata Man. Races first across the line… Creamoata breakfasts keep him fit and feeling mighty fine.""",1,Good,1950s,Fleming & Company Ltd.,Unknown,"Glass, Paint",tinui,object,184,tinui_item,"","",""
186,2023-10-25,23-01/1-2-87,Glass bottle stopper with star,Glass bottle stopper with star,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,185,tinui_item,"","",""
187,2023-10-25,23-01/1-2-88,Champions Vinegar bottle ,"Champions Vinegar bottle, glass bottle with cork with glass topper ",1,Good,Unknown,Champions,Unknown,"Glass, Cork",tinui,object,186,tinui_item,"","",""
188,2023-10-25,23-01/1-2-89,Glass lid with divots,Glass lid with divots,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,187,tinui_item,"","",""
189,2023-10-25,23-01/1-2-90,"Glass lid, plain with round handle","Glass lid, plain with round handle",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,188,tinui_item,"","",""
190,2023-10-25,23-01/1-2-91,Beder Bros. complimentary ash tray,"Beder Bros. complimentary ash tray, glass with yellow painted base and text that reads ""An appreciation from Beder Bros. (Wairarpa) Ltd.""",1,Good,Unknown,Unknown,Unknown,"Glass, Paint",tinui,object,189,tinui_item,"","",""
191,2023-10-25,23-01/1-2-92,Oil lamp chimney glass,Oil lamp chimney glass,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,190,tinui_item,"","",""
192,2023-10-25,23-01/1-2-93,Walker's Loose-Leaf Books Box,"Walker's Loose-Leaf Books Box, green cardboard box with logo on front",1,Good,Unknown,Unknown,Unknown,"Cardboard, ink",tinui,object,191,tinui_item,"","",""
193,2023-10-25,23-01/1-2-94,Bio Luvil Soak and Pre Wash,"Bio Luvil Soak and Pre Wash, cardboard box containing product",1,Poor,Unknown,Unknown,Unknown,"Cardboard, ink, product",tinui,object,192,tinui_item,"","",""
194,2023-10-25,23-01/1-2-95,Corvette Aftershave,"Corvette Aftershave, Glass bottle with brand and image of sailing ship.",1,Fair,Unknown,Goya,Unknown,"Glass, Plastic, Paper, product",tinui,object,193,tinui_item,"","",""
195,2023-10-25,23-01/1-2-96,Crimp Top Oil lamp chimney glass in box,"Crimp Top Oil lamp chimney glass in cardboard box,",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,194,tinui_item,"","",""
196,2023-10-25,23-01/1-2-97,Tool for cutting Silage ,"Tool for cutting Silage, long bladed metal tool with two handles. ",1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,195,tinui_item,"","",""
197,2023-10-25,23-01/1-2-98,Rotary phone from Tinui General Store,"Rotary phone from Tinui General Store with cord, phone and base.",1,Good,Unknown,Unknown,Unknown,"Plastic, Fabric, Metal",tinui,object,196,tinui_item,"","",""
198,2023-10-25,23-01/1-2-99,Children's plastic toy phone,"Children's plastic toy phone, base is blue plastic with rotary front and white and red reciever.",1,Good,Unknown,Unknown,Unknown,"Plastic, thread, Rubber band",tinui,object,197,tinui_item,"","",""
199,2023-10-25,23-01/1-2-100,Knitted Child's Slippers with green felt sole,Knitted Child's Slippers with green felt sole and brown knitted foot with green ties.,1,Good,1950s,Unknown,Belliss Family,"Wool, felt",tinui,object,198,tinui_item,"","",""
200,2023-10-25,23-01/1-2-101,Large metal chisel,"Note reads ""Made by Jack (John Henry) Groves in the Blacksmith Shop at Whakataki. Prior to the (indecipherable)""",1,Good,Unknown,Jack Groves,Mrs. E. N. (Indecipherable),"Metal, Wood",tinui,object,199,tinui_item,"","",""
201,2023-10-25,23-01/1-2-102,Short straight pipe,"Short straight pipe, wooden end with plastic mouthpiece",1,Good,Unknown,Unknown,Unknown,"Wood, Plastic",tinui,object,200,tinui_item,"","",""
202,2023-10-25,23-01/1-2-103,Long curved pipe with metal detail,"Long curved pipe with metal detail, plastic mouth piece and wooden end.",1,Good,Unknown,Unknown,Unknown,"Wood, Plastic, Metal",tinui,object,201,tinui_item,"","",""
203,2023-10-25,23-01/1-2-104,"Tailors Scissors, pre 1900","Tailors Scissors formerly owned buy Peter Kelly, described in the attached ""a tailor who was deaf and dumb and lived about 120 yards past the police station towards the store, pre 1900.""",1,Good,Unknown,Unknown,Allan Belliss,Metal,tinui,object,202,tinui_item,"",/img/derivatives/simple/203/thumbnail.jpg,/img/derivatives/simple/203/fullwidth.jpg
204,2023-10-25,23-01/1-2-105,Tinui Public Hall Dance Programme 1906,"Tinui Public Hall Dance Programme 1906, Small cardboard booklet with a gold woman in late victorian clothing on the cover. Inside are lists of dances with names written in pencil next to them.",1,Good,1906-08-16T12:30:00Z,Unknown,Unknown,"Cardboard, ink",tinui,object,203,tinui_item,"","",""
205,2023-10-25,23-01/1-2-106,Tinui Public Hall Dance Programme 1908 with pencil and string,"Tinui Public Hall Dance Programme 1908, Small cardboard booklet with ""Dance Programme"" and flowers on the cover. Inside are lists of dances with names written in pencil next to them. Attached to a hole in the back cover is a tiny pink pencil on a string. Writing on the back reads ""E.R Perry""",1,Good,1908-06-11T12:30:00Z,Unknown,Unknown,"Cardboard, ink",tinui,object,204,tinui_item,"","",""
206,2023-10-25,23-01/1-2-107,Corkscrew and piercing multitool,Corkscrew and piercing multitool with metal corkscrew and wooden handle. ,1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,205,tinui_item,"","",""
207,2023-10-25,23-01/1-2-108,DeWitt's Diuretic Pills Glass Bottle,DeWitt's Diuretic Pills Glass Bottle with paper label and metal screw top.,1,Good,Unknown,Unknown,Unknown,"Glass, Metal, Paper",tinui,object,206,tinui_item,"","",""
208,2023-10-25,23-01/1-2-109,Green glass razor blade holder,"Green glass razor blade holder, note attached reads ""W.W.II for (honing?) safety razor blades. E.B.B)",1,Good,1940s,Unknown,Unknown,Glass,tinui,object,207,tinui_item,"","",""
209,2023-10-25,23-01/1-2-110,"Leather bag tag that read ""E. Belliss passenger to Tinui""","Leather bag tag that read ""E. Belliss passenger to Tinui"", with strap and buckle",1,Fair,Unknown,Unknown,Belliss Family,"Leather, Thread, Paper",tinui,object,208,tinui_item,"","",""
210,2023-10-25,23-01/1-2-111,Wooden Darning Mushroom,Wooden Darning Mushroom,1,Good,Unknown,Unknown,Belliss Family,Wood,tinui,object,209,tinui_item,"","",""
211,2023-10-25,23-01/1-2-112,Bone Kid Glove Stretching Tool,Bone Kid Glove Stretching Tool for opening the fingers after use.,1,Good,1900s,Unknown,Unknown,"Bone, Metal",tinui,object,210,tinui_item,"","",""
212,2023-10-25,23-01/1-2-113,Wooden tool for mending kid gloves,"Wooden tool for mending the finger seams on kid gloves, tags says ""1800s""",1,Good,Unknown,Unknown,Unknown,Wood,tinui,object,211,tinui_item,"","",""
213,2023-10-25,23-01/1-3-1,Square White doily with open centre,Square White doily with open centre,1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,212,tinui_item,"","",""
214,2023-10-25,23-01/1-3-2,Lace collar,Lace collar with floral pattern,1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,213,tinui_item,"","",""
215,2023-10-25,23-01/1-3-3,Strip of lace on netting,Strip of lace on netting,1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,214,tinui_item,"","",""
216,2023-10-25,23-01/1-3-4,Large White Ceramic Bowl with handle,Large White Ceramic bowl with handle,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,215,tinui_item,"","",""
217,2023-10-25,23-01/1-3-5,Small ceramic jug with spout,"Small ceramic jug with spout, not handle, grey white exterior",1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,216,tinui_item,"","",""
218,2023-10-25,23-01/1-3-6,"Small glass bottle ""Rawleigh's""","Small glass bottle ""Rawleigh's"" imprinted in the glass, screw top, no cap. Rawleigh's ointment.",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,217,tinui_item,"","",""
219,2023-10-25,23-01/1-3-7,Camphorated Oil bottle with metal cap,"Camphorated Oil bottle, orange, with metal cap, and paper label with directions.",1,Good,Unknown,Unknown,Unknown,"Glass, Metal, Paper",tinui,object,218,tinui_item,"","",""
220,2023-10-25,23-01/1-3-8,Small glass bottle with horizontal lines,Small glass bottle with horizontal lines,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,219,tinui_item,"","",""
221,2023-10-25,23-01/1-3-9,Crown Castor Oil Bottle with lid,"Crown Castor Oil Bottle, orange, with lid, white, and paper label",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,220,tinui_item,"","",""
222,2023-10-25,23-01/1-3-10,"Brown glass bottle ""sheep drench""","Brown glass bottle ""sheep drench"", side reads ""Poison, not to be taken""",1,Good,1940s,Unknown,Unknown,Glass,tinui,object,221,tinui_item,"","",""
223,2023-10-25,23-01/1-3-11,Brown glass bottle with label from Gordon Chemist Masterton,"Brown glass bottle with label from Gordon Chemist Masterton, side reads ""Poison, not to be taken"". Hand written label illegible",1,Good,Unknown,Unknown,Unknown,"Glass, Paper, Cork, Liquid",tinui,object,222,tinui_item,"","",""
224,2023-10-25,23-01/1-3-12,Dark brown glass bottle with bumpy outside,"Dark brown glass bottle with bumpy outside, tag attached reads ""Grandma's Lysol Bottle""",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,223,tinui_item,"","",""
225,2023-10-25,23-01/1-3-13,Glass Clothes sprinkler,Brown Glass Clothes sprinkler with metal top. ,1,Good,Unknown,Unknown,Unknown,"Glass, metal",tinui,object,224,tinui_item,"","",""
226,2023-10-25,23-01/1-3-14,Dineford's Magnesia glass bottle,Dineford's Magnesia glass bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,225,tinui_item,"","",""
227,2023-10-25,23-01/1-3-15,Pyrex glass baby bottle ,Pyrex glass baby bottle with measurements on side.,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,226,tinui_item,"","",""
228,2023-10-25,23-01/1-3-16,W.A.C.O Glass bottle with the top cut off,W.A.C.O Glass bottle with the top cut off so it could be turned into a jam jar.,1,Fair,Unknown,Unknown,Unknown,Glass,tinui,object,227,tinui_item,"","",""
229,2023-10-25,23-01/1-3-17,Joseph Rodgers & Sons Ltd. Table Knives Box,"Joseph Rodgers & Sons Ltd. Table Knives Box, cardboard box with print label.",1,Good,Unknown,Unknown,Unknown,"Cardboard, ink",tinui,object,228,tinui_item,"","",""
230,2023-10-25,23-01/1-3-18,Joseph Rodgers & Sons Ltd. Dessert Knives Box,Joseph Rodgers & Sons Ltd. Dessert Knives Box,1,Good,Unknown,Unknown,Unknown,"Cardboard, ink",tinui,object,229,tinui_item,"","",""
231,2023-10-25,23-01/1-3-19,Glass Jar of flood water 1991,Glass Jar of flood water from the craft corner from the 1991 Tinui flood,1,Fair,1991-04-09T12:00:00Z,Unknown,Unknown,"Glass, Plastic, floodwater",tinui,object,230,tinui_item,"","",""
232,2023-10-25,23-01/1-3-20,Glass bottle of Lavender Water with stopper,Glass bottle of Lavender Water with stopper,1,Good,Unknown,Unknown,Unknown,"Glass, Paper",tinui,object,231,tinui_item,"","",""
233,2023-10-25,23-01/1-3-21,Leather box full of household starch ,"Leather box full of household starch, label reads ""Starch for household linen was bought by the lb. in this form until about 1945-50""",1,Good,Unknown,Unknown,Unknown,"Leather, Metal, Thread, Starch",tinui,object,232,tinui_item,"","",""
234,2023-10-25,23-01/1-3-22,Electric razor,"Electric razor, with blade and switches, cord cut.",1,Good,Unknown,Unknown,Unknown,"Metal, Plastic",tinui,object,233,tinui_item,"","",""
235,2023-10-25,23-01/1-3-23,Glass pippet with rubber top,Glass pippet with rubber top,1,Good,Unknown,Unknown,Unknown,"Glass, Rubber",tinui,object,234,tinui_item,"","",""
236,2023-10-25,23-01/1-3-24,Glass Medicine Syringe ,Glass Medicine Syringe with cork stopper and thread end.,1,Fair,Unknown,Unknown,Unknown,"Glass, Cork, Thread",tinui,object,235,tinui_item,"","",""
237,2023-10-25,23-01/1-3-25,Shavers Mug with floral pattern,"Shavers Mug with floral pattern, handle and holes on top.",1,Good,Unknown,Unknown,D.M.E Schofield,"Ceramic, paint",tinui,object,236,tinui_item,"","",""
